2014-5-9,13:33:36,
TSL,SANTEC,TSL-510,13050006,0002.0082,
OPM,HEWLETT-PACKARD,HP8163A,DE38705993,V4.50(24037),
,Agilent Technologies,81619A,DE41201466,V4.01(1126),
,Agilent Technologies,81619A,DE38701300,V4.06(71686),
Start,1288.000000,nm
Stop,1300.000000,nm
Step,0.001000,nm
Speed,40.000000,nm/s
Source power,0.000000,dBm
Averaging Time,0.000100,s
Power range,0.0000,dBm
Wavelength(nm),Loss Slot1-Ch1(dB),
1288.78800000,-41.85776588,
1288.78900000,-41.38112039,
1288.79000000,-40.76300504,
1288.79100000,-40.22245107,
1288.79200000,-39.78289447,
1288.79300000,-40.26963675,
1288.79400000,-40.81703930,
1288.79500000,-41.44415639,
1288.79600000,-41.93718064,
1288.79700000,-41.93775871,
1288.79800000,-41.93886032,
1288.79900000,-41.93920520,
1288.80000000,-41.72912654,
1288.80100000,-41.40927933,
1288.80200000,-41.10867296,
1288.80300000,-40.82986992,
1288.80400000,-40.56671679,
1288.80500000,-40.32010604,
1288.80600000,-40.08568082,
1288.80700000,-39.86353256,
1288.80800000,-39.65276929,
1288.80900000,-39.45125482,
1288.81000000,-39.25978410,
1288.81100000,-39.07499604,
1288.81200000,-39.25666733,
1288.81300000,-39.86348681,
1288.81400000,-40.56713120,
1288.81500000,-41.40703407,
1288.81600000,-41.94403567,
1288.81700000,-41.94433430,
1288.81800000,-41.94456324,
1288.81900000,-41.94541671,
1288.82000000,-41.94460762,
1288.82100000,-41.94476407,
1288.82200000,-41.94487032,
1288.82300000,-41.94484484,
1288.82400000,-41.81582425,
1288.82500000,-41.48870791,
1288.82600000,-41.18483110,
1288.82700000,-40.90060867,
1288.82800000,-40.54781806,
1288.82900000,-40.06815435,
1288.83000000,-39.63664176,
1288.83100000,-39.24368398,
1288.83200000,-38.98465443,
1288.83300000,-38.98497846,
1288.83400000,-38.98473915,
1288.83500000,-38.98361253,
1288.83600000,-39.11981148,
1288.83700000,-39.70564369,
1288.83800000,-40.38206186,
1288.83900000,-41.18338050,
1288.84000000,-41.94036518,
1288.84100000,-41.94101764,
1288.84200000,-41.94158443,
1288.84300000,-41.94338516,
1288.84400000,-42.03426110,
1288.84500000,-42.80764625,
1288.84600000,-43.74682989,
1288.84700000,-44.94871692,
